Region,Load,TR
MISO,77422.61,0.06532721
MISO,77417.7,0.065442021
MISO,77417.5,0.065556831
MISO,77412.92,0.065671642
MISO,77410.53,0.065786452
MISO,77406.9,0.065901263
MISO,77406.09,0.066016073
MISO,77405.2,0.066130884
MISO,77401.99,0.066245695
MISO,77380.82,0.066360505
MISO,77366.28,0.066475316
MISO,77356.3,0.066590126
MISO,77349.8,0.066704937
MISO,77333.53,0.066819747
MISO,77333.1,0.066934558
MISO,77330.4,0.067049369
MISO,77317.91,0.067164179
MISO,77310.7,0.06727899
MISO,77300.2,0.0673938
MISO,77289.24,0.067508611
MISO,77286.18,0.067623421
MISO,77279.43,0.067738232
MISO,77272.87,0.067853042
MISO,77270.11,0.067967853
MISO,77256.5,0.068082664
MISO,77239.11,0.068197474
MISO,77232.68,0.068312285
MISO,77222.39,0.068427095
MISO,77212.9,0.068541906
MISO,77209.1,0.068656716
MISO,77206.63,0.068771527
MISO,77184.56,0.068886338
MISO,77169,0.069001148
MISO,77164.73,0.069115959
MISO,77157.1,0.069230769
MISO,77143.5,0.06934558
MISO,77141.2,0.06946039
MISO,77136.16,0.069575201
MISO,77134.73,0.069690011
MISO,77123.5,0.069804822
MISO,77119.69,0.069919633
MISO,77112.8,0.070034443
MISO,77111,0.070149254
MISO,77109.6,0.070264064
MISO,77096.55,0.070378875
MISO,77068.9,0.070493685
MISO,77058.73,0.070608496
MISO,77051.88,0.070723307
MISO,77043.89,0.070838117
MISO,77041.6,0.070952928
MISO,77041.38,0.071067738
MISO,77016.12,0.071182549
MISO,77012.2,0.071297359
MISO,77008,0.07141217
MISO,77000.3,0.07152698
MISO,76998.89,0.071641791
MISO,76996,0.071756602
MISO,76993.02,0.071871412
MISO,76984.9,0.071986223
MISO,76983.1,0.072101033
MISO,76978.13,0.072215844
MISO,76975.63,0.072330654
MISO,76972.6,0.072445465
MISO,76950.9,0.072560276
MISO,76933.7,0.072675086
MISO,76931,0.072789897
MISO,76919.06,0.072904707
MISO,76917.68,0.073019518
MISO,76897.54,0.073134328
MISO,76896.7,0.073249139
MISO,76889.8,0.073363949
MISO,76886.83,0.07347876
MISO,76884.2,0.073593571
MISO,76876.2,0.073708381
MISO,76854.08,0.073823192
MISO,76851.7,0.073938002
MISO,76847.38,0.074052813
MISO,76842.2,0.074167623
MISO,76837.4,0.074282434
MISO,76833.8,0.074397245
MISO,76823.1,0.074512055
MISO,76800.11,0.074626866
MISO,76799.2,0.074741676
MISO,76762.5,0.074856487
MISO,76748,0.074971297
MISO,76746,0.075086108
MISO,76745.3,0.075200918
MISO,76738.17,0.075315729
MISO,76718.9,0.07543054
MISO,76715.9,0.07554535
MISO,76709.7,0.075660161
MISO,76708.4,0.075774971
MISO,76698.05,0.075889782
MISO,76694.55,0.076004592
MISO,76678.16,0.076119403
MISO,76668.5,0.076234214
MISO,76664.3,0.076349024
MISO,76657.2,0.076463835
MISO,76649.96,0.076578645
MISO,76648.96,0.076693456
MISO,76634.3,0.076808266
MISO,76621.8,0.076923077
MISO,76612.5,0.077037887
MISO,76609.02,0.077152698
MISO,76606.06,0.077267509
MISO,76599.6,0.077382319
MISO,76594.6,0.07749713
MISO,76591.9,0.07761194
MISO,76585.8,0.077726751
MISO,76582.99,0.077841561
MISO,76582.44,0.077956372
MISO,76567.03,0.078071183
MISO,76561.51,0.078185993
MISO,76548.37,0.078300804
MISO,76546.09,0.078415614
MISO,76534.45,0.078530425
MISO,76531.3,0.078645235
MISO,76508.6,0.078760046
MISO,76505.75,0.078874856
MISO,76505.1,0.078989667
MISO,76503.3,0.079104478
MISO,76482.58,0.079219288
MISO,76474.58,0.079334099
MISO,76474.5,0.079448909
MISO,76465.74,0.07956372
MISO,76461.2,0.07967853
MISO,76443.72,0.079793341
MISO,76412.2,0.079908152
MISO,76392.7,0.080022962
MISO,76384.7,0.080137773
MISO,76378.23,0.080252583
MISO,76374.9,0.080367394
MISO,76373.9,0.080482204
MISO,76373.7,0.080597015
MISO,76373.6,0.080711825
MISO,76373.3,0.080826636
MISO,76370.28,0.080941447
MISO,76369.33,0.081056257
MISO,76357.2,0.081171068
MISO,76356.6,0.081285878
MISO,76352.87,0.081400689
MISO,76352.86,0.081515499
MISO,76350.28,0.08163031
MISO,76350.2,0.081745121
MISO,76348.7,0.081859931
MISO,76346.86,0.081974742
MISO,76344.1,0.082089552
MISO,76336.9,0.082204363
MISO,76335,0.082319173
MISO,76328.57,0.082433984
MISO,76327,0.082548794
MISO,76327,0.082663605
MISO,76326.71,0.082778416
MISO,76322.2,0.082893226
MISO,76304.03,0.083008037
MISO,76300.1,0.083122847
MISO,76296.3,0.083237658
MISO,76295.62,0.083352468
MISO,76278.9,0.083467279
MISO,76275.2,0.08358209
MISO,76269.3,0.0836969
MISO,76262.71,0.083811711
MISO,76259.2,0.083926521
MISO,76257.39,0.084041332
MISO,76254.95,0.084156142
MISO,76250.72,0.084270953
MISO,76248.28,0.084385763
MISO,76237.4,0.084500574
MISO,76235.4,0.084615385
MISO,76229.1,0.084730195
MISO,76221.1,0.084845006
MISO,76212.8,0.084959816
MISO,76211.2,0.085074627
MISO,76190.75,0.085189437
MISO,76188.9,0.085304248
MISO,76175.6,0.085419059
MISO,76168.17,0.085533869
MISO,76168.16,0.08564868
MISO,76157.53,0.08576349
MISO,76138.61,0.085878301
MISO,76136.01,0.085993111
MISO,76135.02,0.086107922
MISO,76123.7,0.086222732
MISO,76122.06,0.086337543
MISO,76116.7,0.086452354
MISO,76116.07,0.086567164
MISO,76114.5,0.086681975
MISO,76110.7,0.086796785
MISO,76089.88,0.086911596
MISO,76080.37,0.087026406
MISO,76071.7,0.087141217
MISO,76063.8,0.087256028
MISO,76061,0.087370838
MISO,76043.97,0.087485649
MISO,76036.02,0.087600459
MISO,76031.8,0.08771527
MISO,76030.44,0.08783008
MISO,76027.22,0.087944891
MISO,76026.21,0.088059701
MISO,76009.4,0.088174512
MISO,75993.6,0.088289323
MISO,75991.15,0.088404133
MISO,75976.64,0.088518944
MISO,75973.29,0.088633754
MISO,75972.96,0.088748565
MISO,75971.4,0.088863375
MISO,75969.96,0.088978186
MISO,75961.22,0.089092997
MISO,75958.12,0.089207807
MISO,75948.8,0.089322618
MISO,75942.2,0.089437428
MISO,75931.06,0.089552239
MISO,75931.01,0.089667049
MISO,75915.47,0.08978186
MISO,75912,0.08989667
MISO,75910.4,0.090011481
MISO,75908.7,0.090126292
MISO,75902.93,0.090241102
MISO,75894.85,0.090355913
MISO,75880.99,0.090470723
MISO,75856.8,0.090585534
MISO,75856,0.090700344
MISO,75854.4,0.090815155
MISO,75846.4,0.090929966
MISO,75842.6,0.091044776
MISO,75836.9,0.091159587
MISO,75826.7,0.091274397
MISO,75822.9,0.091389208
MISO,75819.1,0.091504018
MISO,75812.6,0.091618829
MISO,75809,0.091733639
MISO,75795.66,0.09184845
MISO,75792.2,0.091963261
MISO,75785.2,0.092078071
MISO,75781.12,0.092192882
MISO,75767.76,0.092307692
MISO,75758.9,0.092422503
MISO,75754.8,0.092537313
MISO,75750.6,0.092652124
MISO,75741.88,0.092766935
MISO,75716.64,0.092881745
MISO,75714.49,0.092996556
MISO,75713.29,0.093111366
MISO,75711.43,0.093226177
MISO,75702.68,0.093340987
MISO,75701.9,0.093455798
MISO,75700.17,0.093570608
MISO,75690.54,0.093685419
MISO,75673.5,0.09380023
MISO,75661.9,0.09391504
MISO,75661.24,0.094029851
MISO,75642.6,0.094144661
MISO,75640.77,0.094259472
MISO,75640.4,0.094374282
MISO,75639.63,0.094489093
MISO,75638.25,0.094603904
MISO,75628.46,0.094718714
MISO,75626.81,0.094833525
MISO,75620.3,0.094948335
MISO,75619,0.095063146
MISO,75615.8,0.095177956
MISO,75607.4,0.095292767
MISO,75605.7,0.095407577
MISO,75605.3,0.095522388
MISO,75603.8,0.095637199
MISO,75598.09,0.095752009
MISO,75592.51,0.09586682
MISO,75562.7,0.09598163
MISO,75559.5,0.096096441
MISO,75554,0.096211251
MISO,75553.3,0.096326062
MISO,75548.85,0.096440873
MISO,75542.9,0.096555683
MISO,75542.72,0.096670494
MISO,75535.65,0.096785304
MISO,75531.08,0.096900115
MISO,75523.36,0.097014925
MISO,75517.4,0.097129736
MISO,75512.99,0.097244546
MISO,75504.41,0.097359357
MISO,75502.07,0.097474168
MISO,75493.24,0.097588978
MISO,75489.74,0.097703789
MISO,75487,0.097818599
MISO,75484.47,0.09793341
MISO,75482.59,0.09804822
MISO,75478.5,0.098163031
MISO,75473.5,0.098277842
MISO,75472.46,0.098392652
MISO,75456.85,0.098507463
